log_log_1_over_epsilon,log10_epsilon,upper_H2_effective_exponent,lower_H2_effective_exponent,upper_gap_to_2,lower_gap_to_2
3,-8.723037851804422,0.5333333333333332,1.78,1.4666666666666668,0.21999999999999997
4,-23.711675281520385,0.8999999999999999,1.835,1.1,0.16500000000000004
5,-64.45501604007838,1.1199999999999999,1.8679999999999999,0.8800000000000001,0.13200000000000012
6,-175.20689885478134,1.2666666666666666,1.89,0.7333333333333334,0.1100000000000001
8,-1294.6136045576477,1.45,1.9175,0.55,0.08250000000000002
12,-70683.50781658811,1.6333333333333333,1.945,0.3666666666666667,0.05499999999999994
20,-210704567.17798477,1.78,1.967,0.21999999999999997,0.03299999999999992
40,-1.0222652250864227e+17,1.89,1.9835,0.1100000000000001,0.01649999999999996
80,-2.406261727851739e+34,1.945,1.99175,0.05499999999999994,0.00825000000000009
