dimension,quadrature_order,amplitude_exponent_base2,amplitude,tv,hellinger,hellinger_squared,chi_squared,sqrt_chi_squared,factorized_hellinger_squared,factorized_chi_squared,alpha_delta_0_5,theorem_2_1_rhs_C0_1,theorem_2_1_ratio,corollary_2_4_ratio,sqrt_chi_over_tv
2,97,4,0.0625,0.015370170363930938,0.013318944671365936,0.00017739428715890705,0.0014249287830257304,0.037748228872699845,0.0001773942871591272,0.0014249287830256918,1.7492394058560217,22.83556636878144,0.0016530454407430659,0.0005832544048294024,2.455940824265899
2,97,6,0.015625,0.003843680736172653,0.003334233101601776,1.1117110375816999e-05,8.902832760043216e-05,0.00943548237242973,1.111711037560248e-05,8.902832760027124e-05,1.4570153983999352,12.70011553061969,0.0007429446094156384,0.00026253565123585023,2.454803876823837
2,97,8,0.00390625,0.0009609913181175433,0.0008338705156208712,6.953400368218176e-07,5.564154376047733e-06,0.0023588459839607445,6.953400365494744e-07,5.564154376358488e-06,1.2897312106673704,7.485147150844233,0.0003151368886174396,0.00011140335638248887,2.454596560332529
2,97,10,0.0009765625,0.00024025227540904934,0.00020848763944232652,4.3467095800233545e-08,3.477591949913957e-07,0.0005897111114701806,4.346709570057783e-08,3.477591947742553e-07,1.1790661655238248,4.447336499941405,0.00013259871644026716,4.687921398461156e-05,2.4545495374233135
2,97,12,0.000244140625,6.0063346719758546e-05,5.2123168296252594e-05,2.7168246732394714e-09,2.1734947915438874e-08,0.00014742777185943926,2.7168245431141713e-09,2.1734947841522967e-08,1.0992891045092905,2.6250530214408654,5.616182631561386e-05,1.9856044000072314e-05,2.4545380820569753
2,97,14,6.103515625e-05,1.5015854046657574e-05,1.3030870847938312e-05,1.6980359505564854e-10,1.358434237794025e-09,3.6856942870971065e-05,1.6980372663510934e-10,1.3584342539729732e-09,1.038412163113544,1.5320718983119799,2.4056927688302124e-05,8.50539120409139e-06,2.454535236986748
2,97,16,1.52587890625e-05,3.753964597111329e-06,3.2577226372662276e-06,1.0612756781356825e-11,8.490213983565925e-11,9.214235716306549e-06,1.0612843936996796e-11,8.490230740676452e-11,0.9900424235196404,0.8830292119719608,1.0434802825751967e-05,3.6892580597545073e-06,2.454534526883096
3,49,4,0.0625,0.01863925380346919,0.016311956088131494,0.0002660799114211301,0.0021381554084380725,0.046240192564889614,0.0002660799114210244,0.0021381554084383136,1.809095393162343,25.08351038393736,0.0018434498145243772,0.0006503059515376733,2.480796337259127
3,49,6,0.015625,0.004665381063660596,0.004083580475292899,1.6675629498193374e-05,0.00013354552643659754,0.011556189961946694,1.667562949803081e-05,0.00013354552643640716,1.4877602894789874,13.709584479110818,0.0008429278056935108,0.00029786318334556507,2.477008802551997
3,49,8,0.00390625,0.0011667272028740784,0.0010212788073566822,1.0430104023558873e-06,8.346247099531176e-06,0.0028889872099978524,1.043010401824418e-06,8.346247099888515e-06,1.308853449944062,8.051497142556952,0.00035881366643326944,0.0001268433422100613,2.476146268708927
3,49,10,0.0009765625,0.00029170530129368224,0.0002553442269734404,6.520067424866384e-08,5.216390831831371e-07,0.0007222458606202857,6.520067441506683e-08,5.2163908326186e-07,1.1923149132323563,4.784581161971867,0.00015095278691492126,5.336814620325209e-05,2.475943554735555
3,49,12,0.000244140625,7.292778830138009e-05,6.38375981146164e-05,4.075238933043274e-09,3.260243738437039e-08,0.000180561450438266,4.075238813072701e-09,3.260243719438449e-08,1.109124946255468,2.8278838935798003,6.385037619408568e-05,2.2574334915074885e-05,2.475893683928559
3,49,14,6.103515625e-05,1.82320384206908e-05,1.59594959980966e-05,2.547055125132614e-10,2.037652315758227e-09,4.514036237956256e-05,2.54705589952664e-10,2.0376520470932746e-09,1.0460717807969269,1.6532622927575527,2.7303811728670628e-05,9.65333575199191e-06,2.4758812667010726
3,49,16,1.52587890625e-05,4.558015312873024e-06,3.989880030975218e-06,1.5919142661574806e-11,1.2735326965560673e-10,1.1285090591377932e-05,1.5918932838587807e-11,1.2735346111014678e-10,0.9962194163929184,0.9545684041174878,1.1822191623670134e-05,4.179773826333504e-06,2.4758781655484774
