dimension,log10_n,log_epsilon_n,log_epsilon_n_squared,log_variational_objective,log_lower_rate,theorem_logarithmic_correction,lower_to_upper_log_gap,optimizer_u_log_1_over_epsilon
1,4,-3.9218840996439317,-7.843768199287863,-6.250076792370342,-22.193116768387966,1.8293947761489027,15.943039976017625,3.9218840996439317
1,6,-6.010962820827464,-12.021925641654928,-10.07445058109683,-28.778764670103858,1.3938564858850848,18.704314089007028,6.010962820827464
1,8,-8.16067672407065,-16.3213534481413,-14.106433570754731,-35.75776412979144,1.1908577768018127,21.651330559036708,8.16067672407065
1,12,-12.550625433066283,-25.101250866132567,-22.494817931043883,-49.90710862052491,0.9882319365948901,27.412290689481026,12.550625433066283
1,20,-21.492010309595894,-42.98402061919179,-39.870860459050625,-78.0137524266496,0.8149477713543045,38.14289196759898,21.492010309595894
1,40,-44.15781728272431,-88.31563456544862,-84.50547035948898,-146.60562787854693,0.6600189604016374,62.100157519057944,44.15781728272431
1,80,-89.85430787486717,-179.70861574973435,-175.19936064762368,-279.5869187102448,0.5557791569637535,104.38755806262111,89.85430787486717
2,4,-3.2299660156822294,-6.459932031364459,-5.31147912256797,-20.2341077656853,2.13224778023113,14.922628643117331,3.2299660156822294
2,6,-5.07975892122059,-10.15951784244118,-8.680984843525993,-25.78700831101053,1.5382118237231523,17.10602346748454,5.07975892122059
2,8,-7.054011378041666,-14.108022756083331,-12.367087516124464,-32.16193403546569,1.279691108493398,19.794846519341228,7.054011378041666
2,12,-11.197121341067888,-22.394242682135776,-20.258332383934196,-45.5703861267239,1.0349152580665781,25.312053742789708,11.197121341067888
2,20,-19.835638304416317,-39.671276608832635,-37.01636258006178,-72.86921726398192,0.836825620271517,35.85285468392014,19.835638304416317
2,40,-42.10871377266817,-84.21742754533634,-80.84763728020982,-140.50866595176177,0.6684036789905803,59.661028671551946,42.10871377266817
2,80,-87.42983363886674,-174.85966727773348,-170.777286593749,-272.6376024160231,0.5591794646560022,101.86031582227412,87.42983363886674
3,4,-2.7443048786371187,-5.488609757274237,-4.624812012594012,-19.08063193117233,2.476405278382952,14.455819918578317,2.7443048786371187
3,6,-4.354401042546128,-8.708802085092255,-7.552801676666742,-23.507739414536672,1.6993080316726068,15.95493773786993,4.354401042546128
3,8,-6.141229368501036,-12.282458737002072,-10.878664714385136,-29.200213463786103,1.3773915377234438,18.321548749400968,6.141229368501036
3,12,-10.013096188047165,-20.02619237609433,-18.23334214818819,-41.75700294780015,1.0851194357668477,23.523660799611964,10.013096188047165
3,20,-18.31749260471828,-36.63498520943656,-34.31665018828885,-68.13154067866996,0.8597398167126985,33.81489049038112,18.31749260471828
3,40,-40.165610832517046,-80.33122166503409,-77.28276514372645,-134.71179201945608,0.6769543550722859,57.42902687572963,40.165610832517046
3,80,-85.09124383197707,-170.18248766395413,-166.4086786738088,-265.9256539781024,0.5625911786129529,99.5169753042936,85.09124383197707
