attempt,components,support_half_width,amplitude,tv,hellinger
0,11,3.5198519743412344,0.0013718267148241316,0.00015497974722806195,0.0004577804415667985
1,15,3.515538327567609,0.002536822716258385,0.0004536888209629816,0.0003590290605234107
2,8,2.698719379402155,0.0036722448082924385,0.00032317780204453264,0.0002656222311798583
4,5,3.560004496607107,0.012387680095370451,0.004126252159087091,0.0034515084877253933
5,8,3.3239465603193117,0.008348503698231004,0.001730801550397168,0.001400416510761823
6,5,2.185869816870853,0.012749577973648177,0.0009537414078324007,0.000948333450929206
7,8,3.952576543477611,0.0006355949565286424,7.588669745116701e-05,6.899144762414422e-05
8,8,2.8539216024212792,0.03137962235649966,0.01177385515175771,0.009763265595759919
9,5,1.9745371128859432,0.000810060654721608,0.00014548598609501033,0.00011529464177347376
11,8,3.8881659828151456,0.0019138208353878413,0.000675998367115605,0.0005268021192724347
12,8,2.9312389026685257,0.01115465835123809,0.0022365375436306442,0.0017768132524915742
13,11,1.7211856914491857,0.07459871195794299,0.008937368443300345,0.010063282006989109
14,8,1.552839696298428,0.0005671463261996916,2.2940569628462774e-05,2.0030645167604616e-05
15,15,3.3233859397120216,0.01938223549294114,0.002881585101869304,0.0023904614465273407
16,8,2.834499297296657,0.001536101509975995,0.0006292684661983597,0.0004968296830724346
17,15,1.8641538218387814,0.005182599927584763,0.0001013894127603041,0.00012888430693726646
18,5,2.3368283445800433,0.01296654641734122,0.001941919972563589,0.0018752102576390746
19,8,2.147765920609069,0.011344559685295281,0.0023662530441785736,0.002141897135538858
20,8,1.8597719474577177,0.00019023530712981743,4.000451499412494e-06,5.743956734453025e-06
21,11,1.675699694677657,0.00262152141510581,8.002578608433545e-05,6.490984833213639e-05
22,5,3.4157421032022137,0.0008089190175497267,0.00024381435369560023,0.0002106783241347654
24,15,3.0366081266179377,0.004194205664644979,0.00032777862023984633,0.0002716298566075459
25,11,3.2664352515914823,0.05515212704007573,0.006532227563846185,0.005892647496915861
26,15,1.7085366290935498,0.0009401067628490109,4.253112231815863e-05,4.007815702302068e-05
28,8,1.8061423711092246,0.008704972073648998,0.0007380916766831841,0.0009925977796686474
29,11,3.6490834222416177,0.09238003685554246,0.014417754365923085,0.012053469170710932
30,15,1.9810987829078393,0.00015626919668476632,6.56033921654418e-06,5.385020769050718e-06
32,11,3.40627744152781,0.001099087832519149,0.00014619565576195576,0.00015025632005937086
33,8,1.8440153722986619,0.00017029899989700912,1.0434614723284695e-05,8.871484480670378e-06
34,5,3.3716255616556587,0.0036005170364103766,0.001691928265673863,0.0026144449934792403
36,11,2.988501321050279,0.008341426602330693,0.0006421635423854257,0.0006281556240722487
37,11,2.651802563545326,0.16795856296469172,0.019746392141319465,0.016085649408025877
38,5,2.354079838359267,0.2864042531515844,0.016292866723098307,0.013622721274646653
39,8,2.3877488156308595,0.059478239447312384,0.013435539767942,0.01065351644818934
40,5,1.7790787948472642,0.01682233009496542,0.0028895514636884567,0.002624294491904093
41,15,3.827921398573983,0.01893197352393798,0.004243858437505459,0.004285915753028633
42,8,3.0162975608346527,0.00011043292605636171,2.4821449332546612e-05,2.1712488884591946e-05
43,8,2.2957290129454124,0.03995705547326035,0.007016757990296796,0.005589005552048305
45,15,2.725779358775582,0.03289922113196523,0.006326321084056986,0.005179236997147224
47,11,3.228567096143809,0.00029498116967957073,2.0121939068384224e-05,1.676102209914224e-05
