n,engine,scale,lambda_n,tv_pi1_eta1,sqrt_chi2_pi1_eta1,theorem_2_1_exponent_term,theorem_2_1_ratio,tv_pi2_eta2,hellinger_pi2_eta2,corollary_2_4_exponent_term,corollary_2_4_ratio,sharpness_exponent_term,sharpness_ratio,sqrt_chi_over_tv_control,hellinger_over_tv_control,wrong_sharpness_ratio,chebyshev_residual,moment_residual,min_probability_weight,root_count,reported_integration_error
11,adaptive_gauss_kronrod,2.5508902623608595e-05,6.829574809960376e-05,7.227937702100152e-14,5.114814397501753e-12,2.1759320044619736e-05,2.3506315395027498e-07,1.806984425525038e-14,4.5208999312300946e-13,1.0210665519916166e-05,4.4276251361010335e-08,3.7133796703104316e-13,1.2174623476764377,70.7645058425945,25.019030974306823,0.2565410867418326,4.165656059010766e-15,7.31095312598868e-20,0.08285745539675367,5,1.1493080075155635e-15
13,adaptive_gauss_kronrod,4.3766357677019815e-06,3.0667569021157886e-05,4.196220418806942e-16,6.058327808020369e-14,1.2798676252228084e-06,4.733558134159142e-08,1.0490551047017354e-16,5.3548558446277945e-15,5.908204813218575e-07,9.06342283978924e-09,3.0436652610380306e-15,1.759344535411079,144.37582403602278,51.04456210763374,0.3103780631780579,3.6757973393518245e-15,4.407714612050063e-20,0.07088929454203889,7,1.1854711789106874e-17
15,adaptive_gauss_kronrod,7.509119826032946e-07,1.458482832075003e-05,2.2815098052683816e-18,6.587746793539508e-16,6.850858235482455e-08,9.615943823534078e-09,5.703774513170954e-19,5.82280053806465e-17,3.118718746120874e-08,1.8670489428734694e-09,2.327203854923882e-17,2.5020586510910117,288.7450572567042,102.08679401015671,0.37030307950177915,6.944615092633338e-15,2.168404344971009e-19,0.06204948756377171,5,3.162169971844705e-17
17,adaptive_gauss_kronrod,1.2883612791778613e-07,7.267054067629791e-06,1.1410372470045873e-20,6.622855854238063e-18,3.3260542405683384e-09,1.991205006057383e-09,2.8525931175114683e-21,5.853832856690949e-19,1.4958744119039799e-09,3.913318397658845e-10,1.63375949848243e-19,3.583044421243439,580.4241598268735,205.21092968904335,0.4452895101762644,6.861116978408119e-15,1.0842021724855044e-19,0.055219388328156635,7,1.2139439661464967e-18
19,adaptive_gauss_kronrod,2.2104784903422216e-08,3.7641217276368034e-06,5.274486995759417e-23,6.193416748766581e-20,1.4759716869856094e-10,4.1961622999797873e-10,1.3186217489398543e-23,5.474258727208986e-21,6.567619894930467e-11,8.335224654877722e-11,1.058554934225096e-21,5.171445099555801,1174.22163591378,415.1500406852975,0.5400797117453179,4.164418097737589e-15,4.035097534193627e-20,0.04976330434965342,9,3.713869755351226e-20
21,adaptive_gauss_kronrod,3.7925815027471605e-09,2.0150288428391056e-06,2.289270535634943e-25,5.416098288639085e-22,6.066626043462844e-12,8.927694322736866e-11,5.723176339087357e-26,4.7871997843369403e-23,2.6739835742363123e-12,1.790287655639082e-11,6.427844597368581e-24,7.447597265025223,2365.8620527070634,836.458550410545,0.6542367994426797,8.154418042268791e-15,5.886895259195584e-20,0.04529366503279067,7,6.1410322908725446e-21
23,adaptive_gauss_kronrod,6.507041130607454e-10,1.1098239034100674e-06,9.340961629256175e-28,4.449470153470742e-24,2.3193464489475083e-13,1.918415489626338e-11,2.335240407314044e-28,3.932813147757888e-25,1.0136344468752274e-13,3.879912684382158e-12,3.664072525728353e-26,10.733447878398952,4763.396243417666,1684.114892599579,0.7936990506217135,1.1759704174997533e-14,5.421010862427522e-20,0.041559906579094946,9,1.0765976120796109e-22
25,adaptive_gauss_kronrod,1.116431756173123e-10,6.266630399721848e-07,3.590666922722568e-30,3.447782861254353e-26,8.28161949908042e-15,4.163174680552748e-12,8.97666730680642e-31,3.0474383015646377e-27,3.591589210335082e-15,8.484929993651259e-13,1.9653543256811786e-28,15.505795884965506,9602.068182476041,3394.843762622198,0.9657655673008088,1.071937337635887e-14,2.710505431213761e-20,0.03839193783298108,11,6.090021065750417e-24
27,adaptive_gauss_kronrod,1.9154940643128314e-11,3.6171943241937384e-07,1.3080460669013355e-32,2.52881680787996e-28,2.7783786649834696e-16,9.101771618646538e-13,3.270115167253339e-33,2.2351793915380483e-29,1.1965108833726608e-16,1.868081120363606e-13,9.978519003654951e-31,22.399911156348377,19332.780946091145,6835.170253087564,1.175846930919958,2.1155469807835342e-14,1.1237549776529716e-20,0.03566954620583554,9,1.4663309397219442e-26
29,adaptive_gauss_kronrod,3.286468241457587e-12,2.1293231413813346e-07,4.528580901653496e-35,1.7611737494681074e-30,8.791105746684557e-18,2.003358622016701e-13,1.132145225413374e-35,1.5566723763707954e-31,3.761638073583608e-18,4.138283231719305e-14,4.8097595938357184e-33,32.364868680044985,38890.19071791473,13749.758789137815,1.4326552655150353,2.325345117717092e-14,6.776263578034403e-21,0.03330491665813275,11,5.337006021968362e-29
31,adaptive_gauss_kronrod,5.638688056172106e-13,1.275818310087735e-07,1.498633926546801e-37,1.1679084245281446e-32,2.637482737021281e-19,4.4281177963164845e-14,3.746584816367002e-38,1.0322949584859352e-33,1.1218947329322678e-19,9.201353105454485e-15,2.2135179584478056e-35,46.635942326386896,77931.53510272356,27552.95846970665,1.7418284810242046,1.2252038817202827e-14,1.0164395380210775e-20,0.031232144029629042,11,1.608691298897456e-30
