truth,epsilon,n,replicate,q,selected,h2_loss,tv_loss
point_+0.0,0.0,100,15,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,200,15,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,15,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,15,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,15,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,16,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,200,16,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,16,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,16,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,16,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,17,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.0,200,17,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.0,400,17,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,17,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,17,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,18,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,200,18,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,18,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,18,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,18,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,19,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.0,200,19,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,19,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,19,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,19,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,20,-6.0,mix_-0.5_+0.5_w0.25,0.009232113867112179,0.10690992617970946
point_+0.0,0.0,200,20,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,20,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,20,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,20,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,21,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.0,200,21,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,21,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,21,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,21,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,22,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,200,22,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,22,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,22,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,22,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,23,-6.0,point_+0.0,0.0,0.0
